Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;Media Type;Media URLs;URLs;Hashtags;Mentions
1261668733908647936;Yaaaaa çok iyiii ahahsshahj https://t.co/DZJn2r5VCU;ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T14:44:01.000Z;Sat May 16 14:44:01 +0000 2020;2925;156;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;Video;https://video.twimg.com/ext_tw_video/1261391506675466242/pu/pl/akAAzQIy-LrwLb-K.m3u8?tag=10 ;0;0;0
1261660464523759629;Çarpıcı bir video https://t.co/1HZuUJSh4H;ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T14:11:09.000Z;Sat May 16 14:11:09 +0000 2020;856;27;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;Video;https://video.twimg.com/ext_tw_video/1261660340338724865/pu/vid/360x450/U5aKSsCe1jtnVSF7.mp4?tag=10 ;0;0;0
1261648235002806275;"Şef bugün dünyanın en lezzetli tavuklu pilavının tarifini verdi
Bol bol ededdddeddooovooeoooo https://t.co/gsNXDFjBXY";ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T13:22:34.000Z;Sat May 16 13:22:34 +0000 2020;2925;121;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;Video;https://video.twimg.com/ext_tw_video/1261647994962747394/pu/vid/360x450/nE2363aIY53ea6S0.mp4?tag=10 ;0;0;0
1261637089277296640;Yalnız en çok ete tepki verdi adam olacak çocuk belli;ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T12:38:16.000Z;Sat May 16 12:38:16 +0000 2020;144;0;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;;0;0;0
1261633215556714497;"RT @betboomacizle : 🇩🇪⚽️Hasret bitti Bundesliga başlıyor!

📺#BetbooMacİzle ile tüm maçları Ücretsiz ve HD kalitede izleyin! 
👉https://t.co/2fpthMQfw0

#Bundesliga #Futbol #BVB #FCBayern #Betboo https://t.co/9mWmgJjHEu";ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T12:22:53.000Z;Sat May 16 12:22:53 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;Video;https://video.twimg.com/ext_tw_video/1261611292374204420/pu/vid/640x360/5NRsKbgIVrk-u2h1.mp4?tag=10 ;1;6;0
1261624854224265216;Yaa ne güzel teşekkür ediyorsun öyle https://t.co/ETYelX4yxa;ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T11:49:39.000Z;Sat May 16 11:49:39 +0000 2020;6914;305;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;Video;https://video.twimg.com/ext_tw_video/1261624767599325185/pu/vid/360x640/JGYrkSQBIXx0zNJI.mp4?tag=10 ;0;0;0
1261615969635577857;"Ben: hayır uykum yok izleyelim o filmi 
+ Filmin 30. saniyesi
Yine ben: https://t.co/uLTsy7KfJO";ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T11:14:21.000Z;Sat May 16 11:14:21 +0000 2020;1092;38;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;Video;https://video.twimg.com/ext_tw_video/1261615910793744385/pu/vid/720x1280/smgLcs01-3bYumXE.mp4?tag=10 ;0;0;0
1261609283042578435;"RT @turkiye__1xbet : Bugün Major liglerden biri başlıyor!

Uzun süre bekledik ve o an geldi.

#Bundesliga'nın tüm maçları için çeşitli etkinlikleri linke tıklayarak bulabilirsiniz 👉 https://t.co/dfnQaUtmXs https://t.co/XSLri18uuU";ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T10:47:47.000Z;Sat May 16 10:47:47 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;Photo;https://pbs.twimg.com/media/EYIa9qMXkAUIDca.jpg https://pbs.twimg.com/media/EYIa_l_XsAAJwwL.jpg ;1;1;0
1261578700799315969;Günaydın https://t.co/BgYgTZAgiU;ÇOCUK TERÖRÜ;cocuktrr;2020-05-16T08:46:15.000Z;Sat May 16 08:46:15 +0000 2020;8099;333;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;Video;https://video.twimg.com/ext_tw_video/1261578336414957568/pu/vid/320x400/fAxGrd1Vi24QLApg.mp4?tag=10 ;0;0;0
1261440298640527361;https://t.co/w9p17QYs9m;ÇOCUK TERÖRÜ;cocuktrr;2020-05-15T23:36:18.000Z;Fri May 15 23:36:18 +0000 2020;7960;229;und;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;Photo;https://pbs.twimg.com/media/EYGJQkHXkAIsT-i.jpg https://pbs.twimg.com/media/EYGJRBnXkAEuhfJ.jpg ;0;0;0
